2022-07-07 01:13:50 [DEBUG] TCP Server Start Up [Main]
2022-07-07 01:14:01 [DEBUG] Client Connected!
2022-07-07 01:14:58 [DEBUG] TCP Server Start Up [Main]
2022-07-07 01:15:06 [DEBUG] Client Connected!
2022-07-07 01:25:54 [DEBUG] Client Connected!
2022-07-07 01:26:28 [ERROR] ReadMsg: System.IO.IOException: Unable to read data from the transport connection: 遠端主機已強制關閉一個現存的連線。.
 ---> System.Net.Sockets.SocketException (10054): 遠端主機已強制關閉一個現存的連線。
   --- End of inner exception stack trace ---
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken)
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token)
   at System.Threading.Tasks.ValueTask`1.ValueTaskSourceAsTask.<>c.<.cctor>b__4_0(Object state)
--- End of stack trace from previous location ---
   at Network.NetClient.Read() in C:\Users\Keith\Documents\Project\C#\CSharp_ServerBase\GameServer\GameServer\Network\Client\NetClient.cs:line 54
2022-07-07 15:44:04 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:06 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:08 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:10 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:12 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:14 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:16 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:18 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:20 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:22 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:24 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:26 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:28 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:30 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:32 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:34 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:36 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:38 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:40 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:42 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:44 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:46 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:48 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:50 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:52 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:54 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:56 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:58 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:00 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:02 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:04 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:06 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:08 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:10 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:12 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:14 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:16 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:18 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:20 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:22 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:24 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:26 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:28 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:30 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:32 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:34 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:36 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:38 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:40 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:42 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:44 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:46 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:48 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:50 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:52 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:54 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:56 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:45:58 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:00 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:02 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:04 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:06 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:08 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:10 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:12 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:14 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:16 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:18 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:20 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:22 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:24 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:26 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:28 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:30 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:32 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:34 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:36 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:38 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:40 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:42 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:44 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:46 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:48 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:50 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:52 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:54 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:56 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:46:58 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:00 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:02 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:04 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:06 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:08 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:10 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:12 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:14 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:16 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:18 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:20 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:22 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:24 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:26 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:28 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:30 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:32 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:34 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:36 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:38 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:40 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:42 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:44 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:46 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:49 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:51 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:53 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:55 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:57 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:47:59 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:01 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:03 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:05 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:07 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:09 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:11 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:13 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:15 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:17 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:19 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:21 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:23 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:25 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:27 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:29 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:31 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:33 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:35 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:37 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:39 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:41 [DEBUG] Received Packet ID[Heartbeat]
